cor,crashed,distance,dt,exception,lambda,mean_ego_speed,mean_iterations,mean_search_time,min_ego_speed,min_speed,n_steps,nb_brakes,reward,rng_seed,solver,steps_in_lane,steps_to_lane,terminal
true,false,947.1311769361477,0.75,false,0.5,31.57103923120492,1000.0,0.46349999999999997,27.342914231204944,24.962026017768235,40,0,0.1352759542790559,40001,mlmpc,1,40,lane
true,false,631.3499471313689,0.75,false,0.5,22.751349446175457,1000.0,0.3921081081081081,17.430403500229517,17.430403500229517,37,0,0.15777921478822676,40002,mlmpc,1,37,lane
true,false,647.2986508123132,0.75,false,0.5,35.96103615623962,1000.0,0.4176666666666667,33.304786156239615,30.00162697613246,24,0,0.30735686772502346,40003,mlmpc,1,24,lane
true,false,365.9384077537566,0.75,false,0.5,32.52785846700059,1000.0,0.36,31.6278584670006,28.990342858183407,15,0,0.48767497911552943,40004,mlmpc,1,15,lane
true,false,838.4988282431467,0.75,false,0.5,32.88230698992732,1000.0,0.48,31.9117187546332,28.983192185259483,34,0,0.18402591023557577,40005,mlmpc,1,34,lane
true,false,398.59369558863216,0.75,false,0.5,33.21614129905268,1000.0,0.46399999999999997,31.598953799052687,29.497558744899695,16,0,0.46329123015975293,40006,mlmpc,1,16,lane
true,false,737.5021111740541,0.75,false,0.5,35.11914815114543,1000.0,0.482,31.58343386543116,29.505714112835754,28,0,0.25034408974245487,40007,mlmpc,1,28,lane
true,false,273.3032489137377,0.75,false,0.5,30.36702765708197,1000.0,0.358,28.42952765708197,28.42952765708197,12,0,0.5688000922764596,40008,mlmpc,1,12,lane
true,false,231.88048648346344,0.75,false,0.5,30.917398197795126,1000.0,0.3076,29.52989819779512,28.52989193414061,10,0,0.6302494097246091,40009,mlmpc,1,10,lane
true,false,360.023799148527,0.75,false,0.5,32.00211547986907,1000.0,0.45199999999999996,30.352115479869063,28.159292808629544,15,0,0.48767497911552943,40010,mlmpc,1,15,lane
true,false,763.165158967232,0.75,false,0.5,32.82430791256912,1000.0,0.42232258064516126,30.2718885577304,28.491373807258086,31,0,0.2146387639429372,40011,mlmpc,1,31,lane
true,false,375.7622445321282,0.75,false,0.5,23.857920287754173,1000.0,0.3459047619047619,16.965063144897044,16.965063144897044,21,0,0.35848592240854177,40012,mlmpc,1,21,lane
true,false,601.1638459118387,0.75,false,0.5,29.687103501819198,1000.0,0.5047407407407407,26.853770168485852,25.6098103984126,27,0,0.263520094465742,40013,mlmpc,1,27,lane
true,false,683.0811374223956,0.75,false,0.5,32.527673210590265,1000.0,0.5382857142857143,29.822316067733112,29.600487251570048,28,0,0.25034408974245487,40014,mlmpc,1,28,lane
true,false,729.4133857175138,0.75,false,0.5,21.142416977319243,1000.0,0.324695652173913,16.60980828166708,16.60980828166708,46,0,0.09944025698709223,40015,mlmpc,1,46,lane
true,false,255.95300483390577,0.75,false,0.5,28.439222759322863,1000.0,0.4126666666666667,25.751722759322867,25.751722759322867,12,1,0.253675387414155,40016,mlmpc,1,12,lane
true,false,296.0187067785407,0.75,false,0.5,23.217153472826723,1000.0,0.35129411764705876,17.283329943414955,17.283329943414955,17,0,0.44012666865176525,40017,mlmpc,1,17,lane
true,false,418.960574612585,0.75,false,0.5,32.85965291079098,1000.0,0.5696470588235294,29.484652910790977,27.968428074726454,17,0,0.44012666865176525,40018,mlmpc,1,17,lane
true,false,715.5704165718491,0.75,false,0.5,31.80312962541552,1000.0,0.4985333333333333,29.128129625415497,29.02300580505818,30,0,0.2259355409925655,40019,mlmpc,1,30,lane
true,false,374.26563135776576,0.75,false,0.5,35.64434584359674,1000.0,0.3802857142857142,34.43898870073959,27.253233369962942,14,1,0.25667104163975235,40020,mlmpc,1,14,lane
true,false,226.4137653793639,0.75,false,0.5,30.188502050581853,1000.0,0.41559999999999997,28.83850205058186,28.588481323609464,10,0,0.6302494097246091,40021,mlmpc,1,10,lane
true,false,553.7224182432703,0.75,false,0.5,36.91482788288469,1000.0,0.5232,34.2335778828847,29.791771017204805,20,0,0.37735360253530714,40022,mlmpc,1,20,lane
