crashed,distance,dt,exception,lambda,mean_ego_speed,mean_iterations,min_ego_speed,min_speed,n_steps,nb_brakes,reward,rng_seed,solver,steps_in_lane,steps_to_lane,terminal
false,442.3663428765534,0.75,false,0.25,31.043252131687957,4441.9473684210525,28.359041605372155,28.359041605372155,19,0,0.3972143184582181,40001,mlmpc,1,19,lane
false,846.1449319532522,0.75,false,0.25,35.25603883138551,2944.25,33.41619508138554,27.517048775056583,32,3,-0.07209185831035092,40002,mlmpc,1,32,lane
false,825.4940101784283,0.75,false,0.25,35.505118717351756,2894.4193548387098,32.166409039932425,28.47556897983121,31,0,0.2146387639429372,40003,mlmpc,1,31,lane
false,275.2696632006801,0.75,false,0.25,30.5855181334089,3573.0833333333335,28.023018133408897,28.023018133408897,12,0,0.5688000922764596,40004,mlmpc,1,12,lane
false,909.199034158359,0.75,false,0.25,32.76392915885979,3092.945945945946,28.59838861831922,27.518117666932216,37,0,0.15777921478822676,40005,mlmpc,1,37,lane
false,553.1393187473442,0.75,false,0.25,30.729962152630232,3133.3333333333335,29.354962152630236,29.354962152630236,24,0,0.30735686772502346,40006,mlmpc,1,24,lane
false,255.13180067441994,0.75,false,0.25,34.01757342325599,4134.2,32.33007342325599,29.279233507307612,10,0,0.6302494097246091,40007,mlmpc,1,10,lane
false,508.4782458258186,0.75,false,0.25,29.47699975801847,3055.7391304347825,27.031347584105433,26.603368712606855,23,1,0.24265015873028167,40008,mlmpc,1,23,lane
false,325.3584945338716,0.75,false,0.25,24.10062922473123,4353.777777777777,16.767295891397886,16.767295891397886,18,0,0.41812033521917696,40009,mlmpc,1,18,lane
false,435.96159141042915,0.75,false,0.25,30.59379588845117,3428.315789473684,28.24511167792484,26.422901647805116,19,1,0.2752955736793357,40010,mlmpc,1,19,lane
false,343.6519394731918,0.75,false,0.25,24.115925577066093,4420.0526315789475,18.648820313908203,18.648820313908203,19,0,0.3972143184582181,40011,mlmpc,1,19,lane
false,225.35650200351242,0.75,false,0.25,33.3861484449648,4938.222222222223,31.76114844496481,28.976669015760937,9,0,0.6634204312890623,40012,mlmpc,1,9,lane
false,221.96851257921819,0.75,false,0.25,29.59580167722909,4551.1,26.59580167722909,25.942839098320256,10,0,0.6302494097246091,40013,mlmpc,1,10,lane
false,216.03261433302518,0.75,false,0.25,28.80434857773669,3898.3,27.041848577736694,26.79162291722629,10,0,0.6302494097246091,40014,mlmpc,1,10,lane
false,895.3505197783473,0.75,false,0.25,34.108591229651324,2961.6,32.60859122965131,30.076545254266577,35,0,0.17482461472379698,40015,mlmpc,1,35,lane
false,509.2275291073477,0.75,false,0.25,33.94850194048985,3501.45,31.661001940489854,28.321110301160097,20,0,0.37735360253530714,40016,mlmpc,1,20,lane
false,561.7451831466433,0.75,false,0.25,25.827364742374403,3259.344827586207,17.409261294098542,17.409261294098542,29,0,0.2378268852553321,40017,mlmpc,1,29,lane
false,431.1602538310263,0.75,false,0.25,35.930021152585525,3594.125,34.031583652585525,30.304240315655797,16,0,0.46329123015975293,40018,mlmpc,1,16,lane
false,557.8884713098277,0.75,false,0.25,28.609665195375776,3739.576923076923,25.898126733837316,24.066833681234097,26,1,0.14905405230195748,40019,mlmpc,1,26,lane
false,504.1379860491296,0.75,false,0.25,35.378104284149444,3475.3684210526317,33.68073586309681,29.407111495998112,19,0,0.3972143184582181,40020,mlmpc,1,19,lane
false,485.35096482071947,0.75,false,0.25,22.31498688830894,3126.9310344827586,17.181366198653784,17.181366198653784,29,0,0.2378268852553321,40021,mlmpc,1,29,lane
false,742.7601621146425,0.75,false,0.25,33.011562760650776,2689.4666666666667,30.486562760650763,28.20662178007625,30,0,0.2259355409925655,40022,mlmpc,1,30,lane
false,532.8189915743975,0.75,false,0.25,23.680844069973222,3435.9,19.30584406997321,19.30584406997321,30,0,0.2259355409925655,40023,mlmpc,1,30,lane
false,676.504300678101,0.75,false,0.25,34.692528239902614,3237.8846153846152,33.077143624517994,29.00037732862542,26,0,0.27738957312183365,40024,mlmpc,1,26,lane
false,493.38697871821097,0.75,false,0.25,25.30189634452364,4054.076923076923,16.648050190677495,16.648050190677495,26,0,0.27738957312183365,40025,mlmpc,1,26,lane
false,947.3807878414023,0.75,false,0.25,34.13984821050098,3498.4054054054054,28.23106442671716,25.640061200933893,37,1,0.10411952380249245,40026,mlmpc,1,37,lane
false,192.74537310168913,0.75,false,0.25,28.55487008913913,4382.777777777777,26.888203422472458,26.686716222138674,9,0,0.6634204312890623,40027,mlmpc,1,9,lane
false,274.0746964211798,0.75,false,0.25,30.452744046797754,3598.75,25.640244046797747,25.640244046797747,12,0,0.5688000922764596,40028,mlmpc,1,12,lane
false,834.0208024204902,0.75,false,0.25,41.186212465209394,3277.925925925926,34.5334346874316,30.708025216931773,27,0,0.263520094465742,40029,mlmpc,1,27,lane
false,319.4911608266098,0.75,false,0.25,30.427729602534267,3671.1428571428573,29.43665817396284,28.11696474582687,14,1,0.35577973084835246,40030,mlmpc,1,14,lane
false,189.7990401606669,0.75,false,0.25,31.633173360111147,4569.5,30.55504836011115,30.289635448080926,8,0,0.6983372960937497,40031,mlmpc,1,8,lane
false,738.0156392261783,0.75,false,0.25,24.600521307539278,3758.525,17.5505213075393,17.5505213075393,40,0,0.1352759542790559,40032,mlmpc,1,40,lane
false,559.8094074602977,0.75,false,0.25,32.45271927306074,3197.5652173913045,31.392936664365088,28.943338871665055,23,0,0.3235335449737089,40033,mlmpc,1,23,lane
false,398.2941742702532,0.75,false,0.25,33.191181189187766,3961.0,31.644306189187766,27.591237321406258,16,0,0.46329123015975293,40034,mlmpc,1,16,lane
false,339.8507463209526,0.75,false,0.25,22.65671642139684,4235.05,17.931716421396843,17.931716421396843,20,0,0.37735360253530714,40035,mlmpc,1,20,lane
false,338.40009073104744,0.75,false,0.25,32.22858006962357,3763.6428571428573,30.46072292676643,28.49399687278171,14,0,0.5133420832795047,40036,mlmpc,1,14,lane
false,354.9930072380293,0.75,false,0.25,29.582750603169107,4549.0625,29.020250603169103,27.748367530840277,16,0,0.46329123015975293,40037,mlmpc,1,16,lane
false,565.3179612712373,0.75,false,0.25,30.150291267799325,3261.84,29.340291267799316,28.43629030556259,25,1,0.2189917682540792,40038,mlmpc,1,25,lane
false,163.44269651975094,0.75,false,0.25,31.131942194238274,5280.0,29.6855136228097,28.67342635694111,7,0,0.7350918906249998,40039,mlmpc,1,7,lane
false,428.31418059899283,0.75,false,0.25,27.194551149142402,3356.6190476190477,21.944551149142406,21.944551149142406,21,0,0.35848592240854177,40040,mlmpc,1,21,lane
false,749.8793941623077,0.75,false,0.25,31.24497475676282,2706.84375,29.170756006762808,27.974014303205443,32,0,0.20390682574579033,40041,mlmpc,1,32,lane
false,435.04197165118427,0.75,false,0.25,29.002798110078952,3271.4,26.471548110078956,26.471548110078956,20,0,0.37735360253530714,40042,mlmpc,1,20,lane
false,709.709252613528,0.75,false,0.25,22.00648845313265,3315.720930232558,17.68090705778382,17.68090705778382,43,0,0.11598222130000553,40043,mlmpc,1,43,lane
false,591.3698171144764,0.75,false,0.25,29.203447758739575,3542.962962962963,25.96733664762848,24.1502956644233,27,1,0.16421651485118746,40044,mlmpc,1,27,lane
false,167.10194386473518,0.75,false,0.25,31.828941688520985,4860.142857142857,30.48965597423527,25.565286368544964,7,1,0.5513189179687499,40045,mlmpc,1,7,lane
false,354.6948518659198,0.75,false,0.25,29.557904322159985,3795.4375,27.682904322159978,27.682904322159978,16,0,0.46329123015975293,40046,mlmpc,1,16,lane
false,375.8290832665565,0.75,false,0.25,29.476790844435804,4269.058823529412,26.78561437384758,26.5823667687389,17,0,0.44012666865176525,40047,mlmpc,1,17,lane
false,414.4882340340796,0.75,false,0.25,27.632548935605307,3934.2,24.276298935605304,23.749342075202243,20,2,0.08694647097193148,40048,mlmpc,1,20,lane
false,367.78499262078276,0.75,false,0.25,30.64874938506523,4169.75,29.03156188506523,28.803764582725673,16,0,0.46329123015975293,40049,mlmpc,1,16,lane
false,414.118927648968,0.75,false,0.25,24.006894356461913,3887.4347826086955,18.838416095592358,18.838416095592358,23,0,0.3235335449737089,40050,mlmpc,1,23,lane
false,351.85147706924107,0.75,false,0.25,31.275686850599207,3150.266666666667,28.200686850599197,26.863252368550352,15,0,0.48767497911552943,40051,mlmpc,1,15,lane
false,795.8302114595647,0.75,false,0.25,29.475193017020914,2826.722222222222,17.881443017020885,17.881443017020885,36,0,0.16608338398760714,40052,mlmpc,1,36,lane
false,247.2712515951555,0.75,false,0.25,29.972272920624906,3600.2727272727275,27.824545647897637,27.737026059218742,11,1,0.432881831416113,40053,mlmpc,1,11,lane
false,564.1497759658577,0.75,false,0.25,30.087988051512408,2968.88,28.542988051512395,28.448002121317565,25,0,0.2919890243387723,40054,mlmpc,1,25,lane
false,614.8541926276101,0.75,false,0.25,22.7723775047263,3674.25,16.793210838059657,16.793210838059657,36,0,0.16608338398760714,40055,mlmpc,1,36,lane
false,245.50925023823788,0.75,false,0.25,27.278805582026433,4280.583333333333,25.15380558202643,24.822000777475463,12,0,0.5688000922764596,40056,mlmpc,1,12,lane
false,386.0197464962171,0.75,false,0.25,24.50919025372807,4085.4285714285716,16.86633311087094,16.86633311087094,21,0,0.35848592240854177,40057,mlmpc,1,21,lane
false,750.3053644590949,0.75,false,0.25,32.27119847135892,2845.2903225806454,29.924424277810516,29.924424277810516,31,1,0.1452913706624788,40058,mlmpc,1,31,lane
false,546.8815140800418,0.75,false,0.25,29.167014084268896,4216.44,27.3520140842689,25.565048117883165,25,1,0.11740470031533484,40059,mlmpc,1,25,lane
false,337.82965668161876,0.75,false,0.25,22.521977112107916,4478.5,17.665727112107916,17.665727112107916,20,1,0.2027692785118697,40060,mlmpc,1,20,lane
false,418.8160545032573,0.75,false,0.25,27.921070300217153,3738.45,26.45857030021714,25.97745126338694,20,1,0.242263580619648,40061,mlmpc,1,20,lane
false,732.3877216207014,0.75,false,0.25,34.87560579146197,2946.8214285714284,31.96935579146195,29.642039488692664,28,0,0.25034408974245487,40062,mlmpc,1,28,lane
false,552.3553824464085,0.75,false,0.25,32.02060188095122,3405.5652173913045,30.08038448964686,30.08038448964686,23,0,0.3235335449737089,40063,mlmpc,1,23,lane
false,350.58622035789017,0.75,false,0.25,24.602541779501063,4623.1578947368425,18.799910200553697,18.799910200553697,19,0,0.3972143184582181,40064,mlmpc,1,19,lane
false,183.39716883442554,0.75,false,0.25,30.56619480573759,4659.375,28.878694805737588,26.19524801733884,8,1,0.5237529720703122,40065,mlmpc,1,8,lane
false,181.52009091898864,0.75,false,0.25,30.25334848649811,5669.5,28.565848486498105,27.19454986826991,8,0,0.6983372960937497,40066,mlmpc,1,8,lane
false,345.26929155382527,0.75,false,0.25,32.882789671792885,3189.1428571428573,32.10600395750716,24.02192225443224,14,1,0.35577973084835246,40067,mlmpc,1,14,lane
false,148.18874759466323,0.75,false,0.25,32.93083279881405,5454.166666666667,31.805832798814052,30.446579644135923,6,0,0.7737809374999999,40068,mlmpc,1,6,lane
false,868.4984018871447,0.75,false,0.25,36.18743341196436,3027.15625,32.76555841196438,29.793227765199035,32,0,0.20390682574579033,40069,mlmpc,1,32,lane
false,262.33253191104455,0.75,false,0.25,24.984050658194718,5531.571428571428,17.832264943909003,17.832264943909003,14,0,0.5133420832795047,40070,mlmpc,1,14,lane
false,556.0081071110382,0.75,false,0.25,32.2323540354225,3402.086956521739,26.80300620933555,20.833065555810478,23,2,0.03164928709499937,40071,mlmpc,1,23,lane
false,461.43423003604676,0.75,false,0.25,23.663293848002397,3614.576923076923,19.091178463387024,19.091178463387024,26,0,0.27738957312183365,40072,mlmpc,1,26,lane
false,698.7092544160389,0.75,false,0.25,30.05201094262533,3207.935483870968,26.919242854800522,26.823457997377044,31,0,0.2146387639429372,40073,mlmpc,1,31,lane
false,244.69726682884044,0.75,false,0.25,29.660274767132176,3265.181818181818,27.785274767132172,27.076390951779207,11,0,0.5987369392383786,40074,mlmpc,1,11,lane
false,441.180550424928,0.75,false,0.25,26.738215177268366,3356.3636363636365,23.005260631813805,23.005260631813805,22,0,0.34056162628811465,40075,mlmpc,1,22,lane
false,464.4317791952608,0.75,false,0.25,22.934902676309175,5030.740740740741,17.476569342975857,17.476569342975857,27,0,0.263520094465742,40076,mlmpc,1,27,lane
false,429.6819853844875,0.75,false,0.25,22.0349736094609,5187.7692307692305,17.765742840230125,17.765742840230125,26,0,0.27738957312183365,40077,mlmpc,1,26,lane
false,1006.3678477851107,0.75,false,0.25,41.931993657712944,6365.0,33.400743657712965,29.606919377539487,32,0,0.0,40078,mlmpc,0,,distance
