crashed,distance,dt,exception,lambda,mean_ego_speed,mean_iterations,min_ego_speed,min_speed,n_steps,nb_brakes,reward,rng_seed,solver,steps_in_lane,steps_to_lane,terminal
false,442.3663428765534,0.75,false,0.25,31.043252131687957,4913.526315789473,28.359041605372155,28.359041605372155,19,0,0.3972143184582181,40001,mlmpc,1,19,lane
false,620.177596709096,0.75,false,0.25,29.53226650995695,3024.0714285714284,18.41619508138554,18.41619508138554,28,0,0.25034408974245487,40002,mlmpc,1,28,lane
false,564.0264194987329,0.75,false,0.25,30.081409039932424,3304.52,28.416409039932425,28.08884926064432,25,0,0.2919890243387723,40003,mlmpc,1,25,lane
false,272.7384132006801,0.75,false,0.25,30.3042681334089,4357.416666666667,25.773018133408897,25.773018133408897,12,0,0.5688000922764596,40004,mlmpc,1,12,lane
false,423.43853659348565,0.75,false,0.25,22.583388618319233,3763.28,16.59838861831922,16.59838861831922,25,0,0.2919890243387723,40005,mlmpc,1,25,lane
false,353.50835260261744,0.75,false,0.25,33.66746215263023,3109.214285714286,32.354962152630236,31.255062417784192,14,0,0.5133420832795047,40006,mlmpc,1,14,lane
false,348.46577094418797,0.75,false,0.25,33.18721628039886,4404.785714285715,31.58007342325599,29.090420394173528,14,0,0.5133420832795047,40007,mlmpc,1,14,lane
false,654.6115706423723,0.75,false,0.25,29.093847584105433,3889.3,26.281347584105433,25.26036528052692,30,0,0.2259355409925655,40008,mlmpc,1,30,lane
false,441.7122698822591,0.75,false,0.25,22.651911276013287,4697.692307692308,16.767295891397886,16.767295891397886,26,0,0.27738957312183365,40009,mlmpc,1,26,lane
false,504.66567644420377,0.75,false,0.25,29.255981243142248,3356.304347826087,27.49511167792484,26.82241793622787,23,0,0.3235335449737089,40010,mlmpc,1,23,lane
false,467.8439765920721,0.75,false,0.25,22.27828459962248,5227.892857142857,18.648820313908203,18.648820313908203,28,0,0.25034408974245487,40011,mlmpc,1,28,lane
false,225.35650200351242,0.75,false,0.25,33.3861484449648,5476.444444444444,31.76114844496481,28.976669015760937,9,0,0.6634204312890623,40012,mlmpc,1,9,lane
false,587.2431327059672,0.75,false,0.25,30.115032446459857,3837.0384615384614,28.09580167722909,27.376697350006094,26,0,0.27738957312183365,40013,mlmpc,1,26,lane
